CVE_DIVISION,División,entidad_nacimiento,fecha,Rango_edad_2,SalarioFem,SalarioMasc,PTPD_Aseg,PTPD_Aseg_H,PTPD_Aseg_M,PTPD_Aseg_NB,PTPD_Puestos,PTPD_Puestos_H,PTPD_Puestos_M,PTPD_Puestos_NB
7,Transportes y comunicaciones,Sonora,202601,Mayor o igual a 20 y menor a 25 años de edad,369.162307692,423.67988,5975,5418,557,0,552,500,52,0
7,Transportes y comunicaciones,Tabasco,202601,Mayor o igual a 20 y menor a 25 años de edad,454.942777778,440.039363057,4879,4431,448,0,332,314,18,0
7,Transportes y comunicaciones,Tamaulipas,202601,Mayor o igual a 20 y menor a 25 años de edad,428.591,447.153651316,7837,6903,934,0,648,608,40,0
7,Transportes y comunicaciones,Tlaxcala,202601,Mayor o igual a 20 y menor a 25 años de edad,537.866666667,434.8875,1552,1476,76,0,67,64,3,0
7,Transportes y comunicaciones,Veracruz,202601,Mayor o igual a 20 y menor a 25 años de edad,416.339814815,445.703465665,11265,10222,1043,0,986,932,54,0
7,Transportes y comunicaciones,Yucatán,202601,Mayor o igual a 20 y menor a 25 años de edad,379.380476190,428.616784141,5702,5202,500,0,475,454,21,0
7,Transportes y comunicaciones,Zacatecas,202601,Mayor o igual a 20 y menor a 25 años de edad,456.518,421.024875,1811,1692,119,0,85,80,5,0
7,Transportes y comunicaciones,Extranjero/Extranjera,202601,Mayor o igual a 25 y menor a 30 años de edad,412.717777778,450.494232558,2011,1810,201,0,233,215,18,0
7,Transportes y comunicaciones,Aguascalientes,202601,Mayor o igual a 25 y menor a 30 años de edad,406.392857143,416.978882353,3619,3261,358,0,177,170,7,0
7,Transportes y comunicaciones,Baja California,202601,Mayor o igual a 25 y menor a 30 años de edad,418.849454545,454.567869718,8314,7270,1044,0,623,568,55,0
7,Transportes y comunicaciones,Baja California Sur,202601,Mayor o igual a 25 y menor a 30 años de edad,464.70125,451.589029126,1417,1211,206,0,119,103,16,0
7,Transportes y comunicaciones,Campeche,202601,Mayor o igual a 25 y menor a 30 años de edad,343.57875,447.879144737,3481,3102,379,0,160,152,8,0
7,Transportes y comunicaciones,Coahuila de Zaragoza,202601,Mayor o igual a 25 y menor a 30 años de edad,415.596052632,449.342986667,8614,7733,881,0,788,750,38,0
7,Transportes y comunicaciones,Colima,202601,Mayor o igual a 25 y menor a 30 años de edad,349.768,421.733972603,1950,1747,203,0,83,73,10,0
7,Transportes y comunicaciones,Chiapas,202601,Mayor o igual a 25 y menor a 30 años de edad,430.434210526,441.601060904,8441,7761,680,0,528,509,19,0
