CVE_DIVISION,División,entidad_nacimiento,fecha,Rango_edad_2,SalarioFem,SalarioMasc,PTPD_Aseg,PTPD_Aseg_H,PTPD_Aseg_M,PTPD_Aseg_NB,PTPD_Puestos,PTPD_Puestos_H,PTPD_Puestos_M,PTPD_Puestos_NB
7,Transportes y comunicaciones,Coahuila de Zaragoza,202512,Entre 30 y 35 años,370.5817143,399.4517759,8408,7425,983,0,1123,1053,70,0
7,Transportes y comunicaciones,Colima,202512,Entre 30 y 35 años,318.7883333,379.7543262,1555,1328,227,0,153,141,12,0
7,Transportes y comunicaciones,Chiapas,202512,Entre 30 y 35 años,376.7354839,402.4640231,6867,6304,563,0,896,865,31,0
7,Transportes y comunicaciones,Chihuahua,202512,Entre 30 y 35 años,352.8005109,393.3540952,9992,8025,1967,0,1187,1050,137,0
7,Transportes y comunicaciones,Ciudad de México,202512,Entre 30 y 35 años,337.8076023,375.8708283,54044,48166,5878,0,6185,5843,342,0
7,Transportes y comunicaciones,Durango,202512,Entre 30 y 35 años,355.3415625,392.4290313,3853,3355,498,0,383,351,32,0
7,Transportes y comunicaciones,Guanajuato,202512,Entre 30 y 35 años,334.014625,372.7688007,9778,8899,879,0,1164,1084,80,0
7,Transportes y comunicaciones,Guerrero,202512,Entre 30 y 35 años,362.1389744,418.0382306,3666,3296,370,0,542,503,39,0
7,Transportes y comunicaciones,Hidalgo,202512,Entre 30 y 35 años,396.214,412.6543431,2268,2036,232,0,294,274,20,0
7,Transportes y comunicaciones,Jalisco,202512,Entre 30 y 35 años,363.1128804,390.7962621,20558,18341,2217,0,2771,2587,184,0
7,Transportes y comunicaciones,México,202512,Entre 30 y 35 años,341.1023858,375.34359,31549,28625,2924,0,3573,3376,197,0
7,Transportes y comunicaciones,Michoacán de Ocampo,202512,Entre 30 y 35 años,321.5479487,382.0362672,5127,4636,491,0,548,509,39,0
7,Transportes y comunicaciones,Morelos,202512,Entre 30 y 35 años,396.0894444,364.8586594,3694,3318,376,0,294,276,18,0
7,Transportes y comunicaciones,Nayarit,202512,Entre 30 y 35 años,359.5513333,386.0381337,2797,2561,236,0,374,359,15,0
7,Transportes y comunicaciones,Nuevo León,202512,Entre 30 y 35 años,374.7560748,427.1639019,17633,15363,2270,0,3110,2896,214,0
7,Transportes y comunicaciones,Oaxaca,202512,Entre 30 y 35 años,387.0288571,396.8431445,4229,3825,404,0,547,512,35,0
7,Transportes y comunicaciones,Puebla,202512,Entre 30 y 35 años,348.6637931,374.1163792,9868,9015,853,0,1171,1113,58,0
7,Transportes y comunicaciones,Querétaro,202512,Entre 30 y 35 años,357.7381481,389.5941202,3733,3405,328,0,493,466,27,0
7,Transportes y comunicaciones,Quintana Roo,202512,Entre 30 y 35 años,338.0622222,391.4392593,3382,2925,457,0,378,351,27,0
7,Transportes y comunicaciones,San Luis Potosí,202512,Entre 30 y 35 años,348.4752632,388.7122251,6426,5708,718,0,821,764,57,0
7,Transportes y comunicaciones,Sinaloa,202512,Entre 30 y 35 años,359.2571429,398.5538889,8885,7863,1022,0,1006,936,70,0
